Name,Team,Image,Batting Style,Bowling Style,Playing Role,Description
David Miller,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316655.png",Left hand Bat,Right arm Offbreak,Middle order Batter,"A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase If it\s in the arc, it\s out the park. Miller is a self-styled finisher who is strong off the front and back foot and eager to swing his arms, as well as a gun fielder. He made his first-class debut in 2008 at the age of at 18 and two years later, his international debut on South Africa\s tour of West Indies. But it was only in 2013 that he became a regular at international level and it took another two years for him to get his first ODI century: 130 against West Indies in January 2015, followed swiftly by an unbeaten 138 two matches later, which sent him to the World Cup in good form. He made an 18-ball 49 in the semi-final that South Africa narrowly lost to New Zealand. Miller spent even longer waiting for a milestone in T20I cricket. His first fifty in the format came in March 2016. Both speak more to lack of opportunity in limited-overs cricket, rather than lack of ability. At the IPL, Miller was one of the mainstays of Kings XI Punjab for eight years, scoring over 350 runs in each season between 2013 and 2015 and captaining them in 2016. In 2022, he had his best IPL season, scoring 481 runs and striking at 142.72 in Gujarat Titans\ title-winning campaign."
Fakhar Zaman,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320449.png",Left hand Bat,Slow Left arm Orthodox,Opening Batter,"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistans greatest Test batsman Younis Khan, Fakhar Zaman has been on Pakistans thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on timing for his runs, which hes made plenty of. This is illustrated by his domestic average (42 in first class cricket and 49 in List A). But it wasnt until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final, a game dominated by the twin centuries of former Pakistan captain Salman Butt.However, his prolific form earned him a contract in the PSL with the Lahore Qalandars. He showed flashes of the class hed been displaying domestically, particularly during a 33-ball 56 against Karachi where he destroyed the opposition bowling and looked extremely elegant while doing so. It earned him a call-up to Pakistans T20I side for the West Indies tour, and he made his debut in the second match in Port of Spain.His first three T20Is only brought him 26 runs, and much of the world was still unaware of his talent when he made his ODI debut a couple of months later, in England, during the 2017 Champions Trophy. Having missed the opening-match defeat to India, Zaman turned Pakistans batting fortunes around with scores of 31, 50, 57 and 114 in his first four ODI innings, his strike rate of 113.00 giving a dated 50-overs line-up much-needed oomph at the top of the order. The maiden hundred went on to win him the Player-of-the-Match award in the final, setting up a total of 338 that proved a long way beyond Indias reach.Danyal Rasool"
Sikandar Raza,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316632.png",Right hand Bat,Right arm Offbreak,Batting Allrounder,"Sikandar Razas story isnt that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it.Born in Sialkot in the northeast of Pakistan, Sikandar had told his parents when he was 11 years old that he wanted to be a fighter pilot. He wrote the exam that got him into Air Force college. He was one of 60 to have won a place among 60,000 applicants. But in his third year, he failed an eye test. He was told that 7 out of 10 people have the problem in normal life, but for him a dream was shattered.Not dissuaded, Sikandar got admitted to Glasgow Caledonian University, where he picked up cricket as a semi-professional. He moved to Zimbabwe, where his parents had resided since 2002, and he made his first-class debut in 2007. He made one half-century in nine innings before completing his studies and returning to full-time cricket in the 2010-11 season. He had a more fruitful time, scoring 625 runs at an average of 41.The following season was again decent as he developed a reputation as an aggressive top-order batsman. Sikandar kept doing well in the one-day and Twenty20 competitions at the time, so it was natural for the selectors to turn to him for a practice match against the visiting Bangladeshis in 2011 when Vusimuzi Sibanda was injured. He did well, and it became clear that he had a future in Zimbabwe colours.Zimbabwe Cricket (ZC) began a process to get him the necessary papers that would qualify him to play for the country and in May 2013, he made his international debut for Zimbabwe, in the first ODI against Bangladesh, thus becoming the 116th player to appear for Zimbabwe in the format. Four months later, he made his Test debut too, against Pakistan in Harare. By the time the 2015 World Cup rolled around, Sikandar was firmly settled into his role as the most adventurous batsman in Zimbabwes top order, with a fondness for carving the ball through - and sometimes over - point, and a useful side line as an offspinner. He played a pivotal role in one of Zimbabwes most memorable moments on a cricket field, winning the deciding ODI against Sri Lanka with a crucial cameo in a pressure situation chasing 204 on a turning track in Hambantota in July 2017. Before batting, he had helped restrict Sri Lanka in that game with what was his best figures in ODI cricket: 3 for 21 in 10 overs. The result? Zimbabwe had won a five-match ODI series away from home for the first time.Mohammad Isam"
Iftikhar Ahmed,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322153.png",Right hand Bat,Right arm Offbreak,Middle order Batter,
Tom Cooper,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322400/322485.png",Right hand Bat,Right arm Offbreak,Middle order Batter,"An aggressive batsman who was born in Wollongong, in New South Wales - the\nsame coastal city which produced Brett Lee - Tom Cooper now plays his club\ncricket for University in Adelaide. An Australian Under-19 representative - he made 104 against South Africa in the 2005-06 Youth World Cup - Cooper broke into the senior South Australian side in November 2008.His early successes came in limited-overs games, starting with 53 in his first one, against Western Australia at Adelaide Oval, and a month later he hit 101 against New South Wales at the SCG. But he really opened eyes with an innings of 160 not out for the Prime Ministers XI against the touring West Indians at Canberra in February 2010. Cooper spanked six sixes and 14 fours, and made a decent game of it after similar fireworks earlier from Chris Gayle (146 from 89 balls) had propelled the West Indians to an eye-watering total of 399 in their 45 overs.Later in 2010, Cooper decided to play in the Netherlands, from where his mother hails. This connection allowed him to be fast-tracked into the Dutch national side, and he made an unprecedented start by scoring half-centuries in each of his first three full one-day internationals. He added a century in his fifth game, and 96 in his seventh - both against Afghanistan - at which point his ODI average stood at a lofty 81.33, admittedly all against Associate opposition. It dropped a little when he encountered Test bowlers (with 8 v Bangladesh in Glasgow). Time will tell if Cooper can emulate Dirk Nannes and swap an orange shirt for a green-and-gold one.Steven Lynch"
Muhammad Waseem,U.A.E.,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/354900/354962.png",Right hand Bat,Right arm Medium,Opening Batter,
Michael Leask,Scotland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316678.png",Right hand Bat,Right arm Offbreak,Allrounder,"Michael Leask is an explosive batsman from Aberdeen. He showed as much when he smeared five sixes during a memorable 16-ball 42 in an ODI against England in May 2014. But he has been hampered by inconsistency, and he only mustered 56 runs at an average of 9.33 during the World Cup Qualifiers in 2014. Leask also bowls useful off-spin, taking three wickets in Scotland\s win over Tasmania in their World Cup acclimatisation tour in autumn 2014.\nLeask played a solitary first-class game for Northants in a tour match against New Zealand A in 2014. He moved on to Somerset ahead of the 2016 season with Somerset\s director of cricket Matt Maynard describing him as a feisty cricketer. A scattering of T20 matches were his only outings in his debut season.\n\nESPNcricinfo staff"
Max O'Dowd,Netherlands,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322500/322583.png",Right hand Bat,Right arm Offbreak,Opening Batter,
Daryl Mitchell,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321212.png",Right hand Bat,Right arm Medium,Batting Allrounder,"Daryl Mitchell was called into New Zealands Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, too, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. He had made his international debut against India in a T20I in February of that year.Mitchell scored his maiden Test hundred at the start of 2021, in an innings win over Pakistan in Christchurch, and his first ODI century that March. In T20Is, when promoted to open at the 2021 World Cup in the UAE, Mitchell played a key role in New Zealands run to the final, with an unbeaten 72 against England in the semis. Though New Zealand had a poor tour of England in 2022, losing all three Tests, Mitchell came out of the summer glowing, with two fifties and three hundreds, including 190 at Trent Bridge.He made his first-class debut at the end of the 2011-12 season and came to prominence by averaging 54.53 the following year. And though he was primarily a middle-order batter, his seam bowling became a useful asset over the years. He won a place in the New Zealand A squad to tour India and Sri Lanka, and while he found life tougher there, he responded with centuries in successive innings the following domestic season. An unbeaten 170 against Canterbury shortly before the England series in 2019 ensured he was in the selectors thoughts, and when de Grandhomme was forced to pull out of the second Test, Mitchell was selected.He is the son of former New Zealand rugby union player and coach John Mitchell, who, at the time of his sons Test debut against England, was defence coach for the England rugby union side that lost in the World Cup final."
Quinton de Kock,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316668.png",Left hand Bat, ,Wicketkeeper Batter,"Quinton de Kocks fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. De Kock grew up as a baseball player and even considered a move to the United States, but his father convinced him to pursue cricket instead. He attended King Edward VII High School, the alma mater of Graeme Smith and Neil McKenzie, and was picked for the South African U-19 side, which he captained briefly. He also topped the batting charts for South Africa in the 2012 junior World Cup in Australia.Later that year he caught the national selectors eyes when he starred in a match-winning partnership with McKenzie in the Champions League T20 against Mumbai Indians. He also finished fourth in the first-class rankings in the 2012-13 season. After a bit of a false start to his international career - he didnt do much against New Zealand and Sri Lanka in 2012 and 2013 - he scored his first ODI hundred against Pakistan later that year. Then came the three in a row against India, followed by his Test debut early in 2014. An ankle injury threatened to put de Kock out of the 2015 World Cup, but he recovered quickly - if only to struggle through that tournament and a series against Bangladesh, after which he was dropped and spent some productive time in the A team. His first Test hundred came against England in Centurion in 2016, and he followed that up with one against Australia three matches later in Adelaide, in a series South Africa won 2-1. He also hit his stride in the shortest format, scoring his maiden half-century in the T20 World Cup that year, in which he was South Africas most successful batter. Elsewhere in T20, he was a key part of the Mumbai Indians side that won two IPL titles on the trot at the tail end of the 2010s, opening their batting and keeping. In late 2021, de Kock announced a shock retirement from Tests, becoming another in a growing list of top all-format players seeking to concentrate on the white-ball formats."
Stephan Baard,Namibia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329700/329756.png",Right hand Bat,Right arm Medium fast,Batter,
Luke Jongwe,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348593.png",Right hand Bat,Right arm Fast medium,Allrounder,
Hasan Mahmud,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323172.png",Right hand Bat,Right arm Fast medium,Bowler,"Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladeshs coaches for his ability to bowl fast, full and accurately. Mahmud is also one of the rarities in Bangladesh cricket, in that he is also a very good outfielder among the pace bowlers. He is not very tall, but with an action that is mostly front-on, he generates enough pace to beat the bat. During the Bangabandhu T20 Cup in November 2020, Mahmud took eleven wickets for eventual champions Gemcon Khulna, which got him the ODI call-up against West Indies.He mainly emerged from the BCBs age-group structure, having first played for the Chattogram Under-16s in 2015, since he is from Laxmipur, a district within the Chattogram Division. He developed for three years in the system, culminating in his nine wickets in the 2018 Under-19 World Cup.He quickly followed it up with 12 wickets in the Dhaka Premier League (List-A) and continued to play for the Under-23 side. In the 2019-20 season, he took ten wickets each in the BPL (T20s) and Bangladesh Cricket League (first-class) competitions, before making his T20I debut against Zimbabwe in March 2020.Mohammad Isam"
Shaheen Shah Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322250.png",Left hand Bat,Left arm Fast,Bowler,"A baby face perched on a two-metre body, Shaheen Afridis story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, hes been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother.Riaz Afridi made his solitary Test performance for Pakistan in 2004, when Shaheen was just four years old. He pushed Shaheen to hard-ball cricket following years of the younger brother enjoying success in Pakistans informal tape-ball circuit. In 2015, FATA selected him after an U-16 talent hunt programme. His pace, physique and fitness won him an U-16 tour of Australia, and since then, hes been progressing through the youth squads. He burst into the nations consciousness with 8 for 39 on Quaid-e-Azam Trophy debut, the best-ever figures by a debutant in the competition. Later, he was picked for the PSL, where figures of five wickets for four runs in a group game for Lahore Qalandars won him a place in the T20I squad against the West Indies. He became the first cricketer born after the turn of the millennium to represent Pakistan when he played the third T20I against the West Indies. He was later handed an ODI debut in the Asia Cup, where he replaced Mohammad Amir in the side. In December, he became the 35th player to make his Test debut for Pakistan under the age of 19.There is more to him than just his story, however compelling that may be in its own right. He stands at an imposing 6ft 6in, though a sweet, child-like smile and a harmless demeanour perhaps takes some of the aura away. He has the intelligence to take advantage of his height to extract bounce on the docile pitches of the UAE, while a mean yorker has proved especially difficult for batsmen to deal with. Most impressively, he can hit a good length time and again, and appears to have the temperament for a long career at this level. There have been flattering comparisons already, with Pakistan boasting a rich tradition of left-arm fast bowling. In truth, he really is nothing like Wasim Akram or Mohammad Amir, both of whom were shorter bowlers who relied more on swing than bounce. Perhaps the most accurate contemporary comparison is to Mitchell Starc, something Mickey Arthur pointed out during the PSL earlier this year. He has made an impressive start to international cricket, but for Shaheen, many sense this is indeed, just the start. Danyal Rasool"
Fionn Hand,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348600/348603.png",Right hand Bat,Right arm Medium,Bowling Allrounder,
Ish Sodhi,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319778.png",Right hand Bat,Legbreak,Bowler,"There is little in Ish Sodhis statistics to suggest he is an international-quality legspinner, but New Zealands selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhis journey to top-level cricket has been a triumph of determination over significant odds.Born in Ludhiana, in the Indian state of Punjab, Sodhi began his cricket in south Auckland, where his parents had migrated in his youth. Papatoetoe High School is not renowned for its cricket, and perhaps as a result, Sodhi had trouble establishing himself in regional representative teams, and may have also been a victim of Aucklands pitches that provide little aid to spin bowlers, and captains who are not versed in how to use them. Undeterred, Sodhi left school early and a training stint with Dipak Patel and Matt Horne was when his career finally got some traction. A move to Northern Districts allayed the frustration of not being able to displace the spinner in the Auckland side, and after an encouraging 2012-13 season, Sodhi earned a trip to the subcontinent with New Zealand A, which cleared the path to the New Zealand side.Andrew Fidel Fernando"
Kashif Daud,U.A.E.,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/351500/351562.png",Right hand Bat,Right arm Medium fast,Bowling Allrounder,
Wayne Parnell,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316608.png",Left hand Bat,Left arm Medium fast,Bowler,"An aggressive left-handed seamer, who bowls with as much venom as he bats, Wayne Parnell was earmarked for success early and spent the next few years trying to get there. Inconsistency and injury were his nemeses, however, and that led to him abandoning international cricket with South Africa and signing a three-year deal with Worcestershire as a Kolpak after the 2018 English season.Parnell signed immediately after becoming a member of the Worcestershire side that won the T20 Blast for the first time. He had played six Tests, 65 ODIs and 40 T20 matches for South Africa, but none since October 2017.Parnell was schooled at Grey High School in Port Elizabeth, the alma mater of Graeme and Peter Pollock, and began playing provincially when he was 12. He played at Under-13, Under-15 and Under-19 levels, and made his first-class debut for Eastern Province in 2006-07.He was part of South Africas Under-19 squad for the 2006 World Cup in Sri Lanka and captained them in the 2008 edition in Malaysia. Parnell led by example, taking 18 wickets - the most in the tournament - and scored useful runs in the middle-order to steer South Africa to the final.Thereafter, he went on the Emerging Players tour of Australia before earning a call-up to the senior one-day squad for a series in early 2009. He had a modest debut against Australia, but later became the youngest player to be handed a national contract by Cricket South Africa, and soon repaid their faith. At the 2009 World T20, Parnell snaffled nine wickets and had an economy rate of less than six. That included an impressive 4 for 13 against West Indies.   After a successful county stint with Kent, Parnell made his Test debut against England in the fourth match at the Wanderers in January 2010. He played three Tests that year and earned a lucrative IPL contract when Delhi Daredevils splashed out US$ 610,000 on him. A groin injury, however, ruled him out of the tournament. It would impact the next summer as Parnell was unable to tour Sri Lanka in August with the South Africa A side. But he recovered in time for the ODI series against Zimbabwe at home. Parnell played just one match in the 2011 World Cup and was also part of the 2012 World T20. He was not considered for the Champions Trophy the following year. Instead, he was given an opportunity in Tests when he was included in South Africas team to play a must-win match against Australia in Port Elizabeth in February 2014. Parnell announced his return with a wicket off his first ball and added another two deliveries later. He, however, bowled just eight more overs before leaving the field with another groin injury. He recovered for the World T20 a month later and played in ODIs in Sri Lanka and Zimbabwe. Parnell played just one match in South Africas 2015 World Cup campaign, and didnt make it to their World T20 squad a year later.Parnell, though, dominated the domestic scene in the 2015-16 season. Despite a foot niggle, he was the third-highest wicket-taker in the one-day cup and Cobras most successful bowler, despite playing nine of their 11 games. In the same season, Parnell opened the batting on several occasions in the Ram Slam T20 Challenge with a fair amount of success. He blossomed as the season drew to a close and took 18 wickets in the last two first-class matches to finish with 23 from five matches.Firdose Moonda"
Chris Woakes,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316603.png",Right hand Bat,Right arm Fast medium,Allrounder,"By the time Chris Woakes returned from England\s tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England\s nearly men.But fate offered another chance. A knee injury to Ben Stokes saw Woakes recalled to the squad to play Sri Lanka at Chester-le-Street. On the same day he claimed career-best figures of 9 for 36 against Durham - It was like facing 90mph legbreaks, Paul Collingwood said - and, with Alastair Cook insisting Woakes\ batting gave him the edge (both Paul Farbrace and Trevor Bayliss wanted Jake Ball to play), he made it back into the XI.It was to prove the start of a golden summer. After career-bests to that point with bat and ball at Chester-le-Street, he made a maiden Test half-century at Lord\s and followed it with an unbeaten 95 to help England to an unlikely tie in an ODI at Trent Bridge. It was the highest score by a No. 8 or lower in the history of ODIs and helped England recover from 92 for 6 in pursuit of 287.Then, at Lord\s, he claimed 11 for 102 against Pakistan, becoming the first England bowler since Ian Botham in 1978 to take a five-wicket haul in each innings of a Test at the ground. He followed it with another seven wickets and a half-century in Manchester and five more wickets in Birmingham. His 26 wickets at 16.73 apiece were a record in a series between England and Pakistan. Woakes, finally, had arrived at the top level. He was named one of Wisden\s Cricketers of the Year for his efforts.In many ways it was a surprise it had taken so long. Woakes had long been a highly respected player at county level. He made his first-class debut for Warwickshire in 2006 as a 17-year-old and, before he was 20, was topping the county\s bowling averages with impressive control and an ability to swing the ball both ways. Most of all, though, he impressed with an apparently unflappable temperament that Ashley Giles, director of cricket at Warwickshire, admitted he would like to clone as the template for all players.After two more solid county seasons, he was selected on the England Lions tour of the West Indies in 2010, where he performed admirably and was deemed ready for the next step. He made his international debut in a T20 in Adelaide in January 2011 and kept his cool to hit the winning runs in a thrilling one-wicket victory. A few weeks later, he claimed 6 for 45 at Brisbane - the second-best figures by an Englishman in ODIs. Back in the UK, Woakes enjoyed another superb summer in first-class cricket with 56 wickets at 21.78 and 579 runs at 48.25. Most of his chances for England came with the white ball, playing sporadically over the next couple of years, before being handed a Test debut at the end of the 2013 Ashes. He performed respectably on a flat pitch, but it was felt he lacked the pace to prosper at Test level and he was left out of the Ashes squad for the return tour to Australia. Having worked hard to add that pace, Woakes was recalled in place of Stokes in the summer of 2014 and played three Test in succession against India. He enjoyed no luck, but demonstrated the skill and control to suggest he had a future at that level. But a succession of injuries - and the development of Stokes - saw him slip back among the chasing pack and he lost his central contract at the end of 2015.The following summer changed his fortunes, and his growing reputation was rewarded in 2017 by a first IPL contract. But having been expected to lead England\s attack in the Champions Trophy, he instead pulled up after bowling just two overs in their opening match and missed the rest of the tournament. A difficult Ashes tour followed and he was dropped from the Test side in New Zealand - his bowling average away from home having risen to 61.77 - but he bounced back during the English summer, scoring a maiden Test century, against India at Lord\s.A year later Woakes helped England to secure a dramatic, maiden World Cup win - his importance never more apparent than during the new-ball spell that helped reduce Australia to 14 for 3 in the semi-final at Edgbaston. Improvements with the Kookaburra ball were apparent during one-off appearances in New Zealand and South Africa that winter, and his mastery at home saw him named PCA Player of the Year in 2020, having averaged 20.24 in five behind-closed-doors Tests against West Indies and Pakistan, as well as scoring an unbeaten 84 at Old Trafford to secure a fourth-innings chase of 277 by three wickets.George Dobell"
Anrich Nortje,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322080.png",Right hand Bat,Right arm Fast,Bowler,"Anrich Nortje is a genuine quick who has been described as extremely exciting by none other than Dale Steyn. Like Steyn, Nortje is not a product of a big city but comes from the town of Uitenhage, north of Port Elizabeth, which is home to the largest Volkswagen factory in the African continent. It\s hardly surprising then, that Nortje is well-acquainted with speed. He regularly sends the speed gun over 150kph and has a fearsome bouncer. Nortje was schooled at Brandwag High and went on to complete a Bachelor of Commerce degree in financial planning at Nelson Mandela Metropolitan University, where he used varsity cricket to hone his skills. Nortje enjoyed a strong start to his first-class franchise career, with 20 wickets in four matches in the 2016-17 season and a fifth-place finish on the first-class wicket charts in the 2017-18 summer, when he was the second-highest wicket-taking seamer. But the shorter format was where he got his big break. Nortje stormed onto the scene in late 2018, in the inaugural edition of the Mzansi Super League, South Africa\s franchise T20 competition, with express pace that helped him take eight wickets in three matches for the Cape Town Blitz. His sensational start did not last too long and he was forced out of the tournament with an ankle injury, which required surgery. He recovered by early 2019 and made his ODI debut against Sri Lanka in March 2019. Nortje played four of the five matches in the series with a best return of 3 for 57 at his home ground in Port Elizabeth and appeared to have made a strong case for inclusion in the 2019 World Cup squad. Nortje\s career appeared to be on the ascendancy when he was contracted by Kolkata Knight Riders for the 2019 IPL but had to withdraw from the tournament when he picked up a shoulder injury. Despite that, he was named in South Africa\s World Cup squad and had recovered in time for the tournament but broke his thumb in training ahead of the team\s departure. An opportunity to tour with the national side finally came in September-October 2019, when Nortje was named in the squad for a T20I and Test series in India. He made his debuts in both formats there. Firdose Moonda"
Brandon King,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321983.png",Right hand Bat, ,Top order Batter,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies white-ball side.King made his first-class debut for Jamaica in 2014-15 but had a breakout season in 2018-19, when he racked up 630 runs in seven games, landing him a middle-order slot in the West Indies A side. King also debuted in the CPL in 2017 with St Kitts and Nevis Patriots, but flew under the radar until his switch to Guyana Amazon Warriors in 2019, where coach Johan Botha spotted his potential and bumped him up the order. He responded with 496 runs in 12 games, the most by anyone in the tournament that year, at a strike rate of 149, including an unbeaten 132 against Barbados Tridents, then the highest individual score in the CPL.A step-up to the national squad seemed the natural order of things, but though King produced acceptable, if not earth-shattering performances in limited-overs series against Afghanistan, India, Sri Lanka and New Zealand, he was dropped from the side in late 2020. On his recall a year later, he scored fifties in T20Is against Pakistan and England, and an unbeaten 58 and 91 in an ODI series win against Netherlands."
Alishan Sharafu,U.A.E.,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/351800/351852.png",Right hand Bat,Right arm Medium,Opening Batter,
Evin Lewis,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320000/320093.png",Left hand Bat, ,Opening Batter,"I hit a lot of sixes, big sixes like him, Evin Lewis said when asked why he chose Chris Gayle as his mentor. For an upcoming left-handed opening batsman, especially in the modern game, that\s a fairly smart pick.Lewis moved up the ranks playing age-group cricket for Trinidad & Tobago, and was part of a championship winning Under-19 side in 2008. His List A debut came in October 2009, when he struck a half-century playing for West Indies U-19s. The following January he was representing them at the World Cup.  Like Gayle, Lewis\ best has come in the T20 circuit. In 2013, he was Trinidad & Tobago\s top-scorer in the Champions League with a strike-rate of 141.61. He showed big-match credentials, striking 62 off 46 balls in the semi-final against a Mumbai Indians attack comprising Mitchell Johnson and Harbhajan Singh. The following year, at the Caribbean Premier League, he made 321 runs from eight innings, the most by a T&T Red Steel batsman and only 42 behind Gayle, who had played 11 innings. By this time, Lewis began to attract overseas interest. He hit 101 not out off 65 balls in his first stint at the Bangladesh Premier League, which paved the way for his first West Indies call-up, for a World T20 no less. Lendl Simmons had been injured for the early part of the 2016 tournament, which helped Lewis\ dream come true. Ironically, his maiden T20, List A and first-class centuries came after the T&T board took away his domestic contract. \n\nESPNcricinfo Staff"
Ravichandran Ashwin,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316521.png",Right hand Bat,Right arm Offbreak,Bowling Allrounder,"R Ashwin took the tricks and skills he learned playing tennis-ball cricket on the streets of Chennai, particularly the soduku ball, a finger-flicked legbreak, to Test cricket, where he became perhaps the leading offspinner of the first quarter of the 21st century.All through his career Ashwin has been a cricket nerd with a deep appreciation of the nuances of the game and an acute knowledge of his craft. And it was that sharp brain, along with the carrom ball, an equally good arm ball, and masterly control over his offbreaks that made him a quintessential limited-overs spinner early in his career. It was in Test cricket, though, that he became a force after he brought the full scope of his talents to bear on it. His success was desperately needed by India in the time after Anil Kumble retired and Harbhajan Singh was on the wane. Ashwin took nine wickets in his maiden Test, in which he was Player of the Match. In his first 16 Tests he collected nine five-fors, and he went on to be the fastest to 300 wickets and the second fastest to 400, behind only Muthiah Muralidaran.Among the highlights of Ashwins Test career: 30 five-fors and counting, 90-odd wickets apiece against both Australia and England, and over 50 wickets a year four times. He reached his zenith in the 2016-17 home season, when he took 27 wickets in a three-Test series against New Zealand, 28 in five matches against England, six in a game against Bangladesh, and 21 against Australia in four Tests.Ashwin was picked by Chennai Super Kings in the IPL in 2009, and was one of the rare players who came into the publics reckoning through the IPL and proved himself good enough to have great success in Test cricket. He spent six seasons at CSK, winning the title twice, bowling at the top and the death, and coming on when wickets were required. He was the Man of the Series in the 2010 Champions League in South Africa.He was part of the winning squad in the 2011 World Cup, but got few chances in that tournament ahead of Harbhajan. In the 2015 tournament, he made up with 13 wickets from eight games in Indias run to the semi-final. In T20Is his finest hour was the World Cup in 2014, when he took 4 for 11 against Australia, and 11 wickets in all in the tournament, where India lost in the final.An opener with the bat before he took up offspin, Ashwin has been a more than handy lower-order batter, correct, possessed of shots, and with five Test hundreds to his name."
